繁体字	规范字	异体字
楠		枏柟
楦		楥
楨	桢	
楫		檝
業	业	
極	极	
概		㮣
榜		牓
榨		搾
榪	杩	
榮	荣	
榷		搉𣙜
榿	桤	
槁		槀
構	构	搆
槍	枪	鎗
槤	梿	
槧	椠	
槳	桨	
樁	桩	
樂	乐	
樅	枞	
樓	楼	
標	标	
樞	枢	
樣	样	
樸	朴	
樹	树	
樺	桦	
樽		罇
橈	桡	
橋	桥	
橛		橜
機	机	
橢	椭	
橱		櫥
檉	柽	
檐		簷
檔	档	
檜	桧	
檟	槚	
檢	检	
檣	樯	艢
檮	梼	
檯	台	
檳	槟	
檸	柠	
檻	槛	
櫃	柜	
櫍	𬃊	
櫓	橹	樐㯭艣艪
櫚	榈	
櫛	栉	
櫝	椟	
櫞	橼	
櫟	栎	
櫧	槠	
櫨	栌	
櫪	枥	
櫬	榇	
櫳	栊	
櫸	榉	
櫻	樱	
欄	栏	
權	权	
欏	椤	
欒	栾	
欓	𣗋	
欖	榄	
欞	棂	
欣		訢
欲		慾
欽	钦	
款		欵
歌		謌
歐	欧	
歟	欤	
歡	欢	懽讙驩
歲	岁	嵗
歷	历	歴𠪱
歸	归	
殘	残	
殞	殒	
殤	殇	
殫	殚	
殮	殓	
殯	殡	
殲	歼	
殷		慇
殺	杀	
殻	壳	
毁		燬譭
毆	殴	
毗		毘
毿	毵	
氈	毡	氊
氌	氇	
氛		雰
氣	气	
氫	氢	
氬	氩	
污		汙汚
汹		洶
沈		
沾		霑
泄		洩
法		㳒灋
泛		氾汎
注		註
泪		淚
泯		冺
浙		淛
浚		濬
浣		澣
浹	浃	
浿	𬇙	
涂		
涅		湼
涇	泾	
涌		湧
涎		㳄
淀		
淆		殽
淋		痳
淪	沦	
淫		婬滛滛右上从類似月字
深		㴱
淳		湻
淵	渊	
淶	涞	
淺	浅	
渢	沨	
渦	涡	
測	测	
游		遊
渺		淼𣺌
渾	浑	
湋	𣲗	
湞	浈	
湯	汤	
準	准	
溝	沟	
溪		谿
溮	浉	
溯		泝遡
溳	涢	
滄	沧	
滅	灭	
滌	涤	
滎	荥	
滬	沪	
滯	滞	
滲	渗	
滷	卤	
滸	浒	
滻	浐	
滿	满	
漁	渔	
漊	溇	
漍	𬇹	
漓		
漚	沤	
漢	汉	
漣	涟	
漬	渍	
漱		潄
漲	涨	
漸	渐	
漿	浆	
潁	颍	
潑	泼	
潔	洁	絜
潕	𣲘	
潙	沩	
潜		潛
潤	润	
潯	浔	
潰	溃	
潷	滗	
潿	涠	
澀	涩	澁濇
澄		澂
澆	浇	
澇	涝	
澐	沄	
澗	涧	
澠	渑	
澤	泽	
澦	滪	
澫	𬇕	
澮	浍	
澱	淀	
濁	浊	
濃	浓	
濆	𣸣	
濕	湿	溼
濘	泞	
濚	溁	
濛	蒙	
濜	浕	
濟	济	
濤	涛	
濫	滥	
濰	潍	
濱	滨	
濺	溅	
濼	泺	
濾	滤	
瀂	澛	
瀅	滢	
瀆	渎	
瀉	泻	
瀋	沈	
瀏	浏	
瀕	濒	
瀘	泸	
瀝	沥	
瀟	潇	
瀠	潆	
瀧	泷	
瀨	濑	
瀰	弥	
瀲	潋	
瀾	澜	
灃	沣	
灄	滠	
灑	洒	
灕	漓	
灘	滩	
灝	灏	
灣	湾	
灤	滦	
灧	滟	
灾		災烖菑
炕		匟
炮		砲礮
炯		烱
烏	乌	
烟		菸煙
烴	烃	
焊		釬銲
無	无	
焰		燄
煉	炼	鍊
煒	炜	
煢	茕	
照		炤
煩	烦	
煬	炀	
煮		煑
熏		燻
熒	荧	
熗	炝	
熙		𤋮熈
熰	𬉼	
熱	热	
熲	颎	
熾	炽	
燀	𬊤	
燁	烨	爗
燈	灯	
燒	烧	
燕		鷰
燖	𬊈	
燙	烫	
燜	焖	
營	营	
燦	灿	
燭	烛	
燮		爕
燴	烩	
燼	烬	
燾	焘	
爍	烁	
爐	炉	鑪
爛	烂	
爲	为	
爺	爷	
爾	尔	尒
牘	牍	
牦		犛氂
牽	牵	
犁		犂
犖	荦	
犢	犊	
犧	牺	
狀	状	
狷		獧
狸		貍
狹	狭	陿
狽	狈	
猪		豬
猫		貓
猬		蝟
猶	犹	
猻	狲	
猿		猨蝯
獁	犸	
獄	狱	
獅	狮	
獐		麞
獨	独	
獪	狯	
獫	猃	
獮	狝	
獰	狞	
獲	获	
獵	猎	
獷	犷	
獸	兽	
獺	獭	
獻	献	
獼	猕	
獾		䝔貛
玀	猡	
玩		翫
玳		瑇
珊		珊
珍		珎
珐		琺
現	现	
球		毬
琅		瑯
琉		瑠璢
琴		琹
琿	珲	
瑋	玮	
瑒	玚	
瑣	琐	𤨏
瑩	莹	
瑪	玛	
瑰		瓌
瑲	玱	
璃		琍瓈
璇		璿
璉	琏	
璊	𫞩	
璕	𬍤	
璗	𬍡	
璡	琎	
璣	玑	
璦	瑷	
璫	珰	
環	环	
璵	玙	
璽	玺	
瓅	𬍛	
瓊	琼	
瓏	珑	
瓔	璎	
瓚	瓒	
瓛	𤩽	
瓮		甕罋
瓶		缾
甌	瓯	
産	产	
留		𤱊㽞畱
畝	亩	𤰜畂𤱈畆畮
畢	毕	
略		畧
畫	画	
當	当	
疇	畴	
疏		疎
疱		皰
疴		痾
症		
痙	痉	
痱		疿
痴		癡
痹		痺
瘋	疯	
瘍	疡	
瘞	瘗	
瘡	疮	
瘤		癅
瘧	疟	
瘩		𤺥
瘮	瘆	
瘲	疭	
瘻	瘘	
療	疗	
癆	痨	
癇	痫	
癉	瘅	
癘	疠	
癟	瘪	㿜
癢	痒	
癤	疖	
癥	症	
癧	疬	
癩	癞	
癬	癣	
癭	瘿	
癮	瘾	
癰	痈	
癱	瘫	
癲	癫	
發	发	
皂		皁
皋		皐臯
皓		暠皜
皚	皑	
皸	皲	
皺	皱	
盍		盇
盞	盏	琖醆
盡	尽	
監	监	
盤	盘	
盧	卢	
眇		𦕈
眯		瞇
眷		睠
眺		覜
睍	𪾢	
睏	困	
睞	睐	
睬		倸
睹		覩
睿		叡
瞅		𥄨矁
瞘	眍	
瞜	䁖	
瞞	瞒	
瞭	了	
瞰		矙
瞼	睑	
矇	蒙	
矓	眬	
矚	瞩	
矩		榘
矯	矫	
砧		碪
硃	朱	
硜	硁	
硤	硖	
硨	砗	
硯	砚	
碇		矴椗
碌		磟
碗		㼝盌椀
碩	硕	
碭	砀	
碰		掽踫
碱		堿鹻鹼
碴		𦉆
碸	砜	
確	确	
碼	码	
磑	硙	
磚	砖	塼甎
磣	碜	
磧	碛	
磯	矶	
磷		粦燐
磽	硗	
磾	䃅	
礄	硚	
礎	础	
礐	𬒈	
礙	碍	
礦	矿	鑛
礪	砺	
礫	砾	
礬	矾	
礱	砻	
祀		禩
禀		稟
禍	祸	旤
禎	祯	
禕	祎	
禡	祃	
禦	御	
禪	禅	
禮	礼	
禰	祢	
禱	祷	
秆		稈
秋		秌𥤚
种		
秕		粃
秘		祕
秸		稭
移		迻
稗		粺
稚		稺穉
種	种	
稱	称	
稿		稾
穀	谷	
穇	䅟	
穌	稣	
積	积	
穎	颖	頴
穠	秾	
穡	穑	
穢	秽	
穩	稳	
穫	获	
窑		窰窯
窗		窓𥦗牎牕窻
窩	窝	
窪	洼	
窮	穷	
窵	窎	
窶	窭	
窺	窥	闚
竄	窜	
竅	窍	
竇	窦	
竈	灶	
竊	窃	
竪	竖	豎
競	竞	
笋		筍
笑		咲
筆	笔	
筏		栰
筑		
筒		筩
策		筴筞
筧	笕	
筲		䈰
箋	笺	牋椾
管		筦
箬		篛
箸		筯
節	节	
範	范	
築	筑	
篋	箧	
篔	筼	
篡		簒
篢	𬕂	
篤	笃	
篩	筛	
篱		
篳	筚	
簀	箦	
簍	篓	
簞	箪	
簡	简	
簣	篑	
簪		簮
簫	箫	
簹	筜	
簽	签	
簾	帘	
籃	篮	
籌	筹	
籙	箓	
籛	篯	
籜	箨	
籟	籁	
籠	笼	
籤	签	
籩	笾	
籪	簖	
籬	篱	
籮	箩	
籲	吁	
籼		秈
粗		觕麤
粳		秔粇稉
粽		糉
糇		餱
糊		䊀餬
糍		餈
糕		餻
糖		餹
糝	糁	
糞	粪	
糟		蹧
糠		粇穅
糧	粮	
糯		稬穤
糰	团	
糲	粝	
糴	籴	
糶	粜	
系		
糾	纠	糺
紀	纪	
紂	纣	
紃	𬘓	
約	约	
紅	红	
紆	纡	
紇	纥	
紈	纨	
紉	纫	
紋	纹	
納	纳	
紐	纽	
紓	纾	
純	纯	
紕	纰	
紖	纼	
紗	纱	
紘	纮	
紙	纸	帋
級	级	
紛	纷	
紜	纭	
紝	纴	
紞	𬘘	
紡	纺	
累		
細	细	
紱	绂	
紲	绁	絏
紳	绅	
紵	纻	
紹	绍	
紺	绀	
紼	绋	
紿	绐	
絀	绌	
終	终	
組	组	
絅	䌹	
絆	绊	
絎	绗	
結	结	
絝	绔	
絞	绞	
絡	络	
絢	绚	
給	给	
絨	绒	毧羢
絪	𬘡	
絰	绖	
統	统	
絲	丝	
絳	绛	
絶	绝	
絹	绢	
絺	𫄨	
綁	绑	
綃	绡	
綄	𬘫	
綆	绠	
綈	绨	
綉	绣	繡
綌	绤	
綎	𬘩	
綏	绥	
經	经	
綖	𫄧	
綜	综	
綝	𬘭	
綡	𫟅	
綢	绸	紬
綣	绻	
綧	𬘯	
綪	𬘬	
綫	线	線
綬	绶	
維	维	
綯	绹	
綰	绾	
綱	纲	
網	网	
綳	绷	繃
綴	缀	
綸	纶	
綹	绺	
綺	绮	
綻	绽	
綽	绰	
綾	绫	
綿	绵	緜
緄	绲	
緇	缁	
緊	紧	𦂳𦃂
緋	绯	
緑	绿	菉
緒	绪	
緔	绱	
緗	缃	
緘	缄	椷
緙	缂	
線	缐	
緝	缉	
緞	缎	
締	缔	
緡	缗	
緣	缘	
緦	缌	
編	编	
緩	缓	
緬	缅	
緯	纬	
緱	缑	
緲	缈	
練	练	
緹	缇	
緻	致	
緼	缊	
縈	萦	
縉	缙	
縊	缢	
縋	缒	
縐	绉	
縑	缣	
縗	缞	
縛	缚	
縝	缜	
縞	缟	
縟	缛	
縣	县	
縧	绦	絛縚
縫	缝	
縭	缡	
縮	缩	
縯	𬙂	
縱	纵	
縲	缧	
縴	纤	
縵	缦	
縶	絷	
縷	缕	
縹	缥	
總	总	
績	绩	勣
繁		緐
繅	缫	
繆	缪	
繒	缯	
織	织	
繕	缮	
繚	缭	
繞	绕	遶
